date,o_improvement,track,shortcut
2017-11-23,0.03183615532799337,Koopa Troopa Beach,No Shortcut
2018-01-06,0.031937544357700555,Koopa Troopa Beach,No Shortcut
2018-03-04,0.03203893338740745,Koopa Troopa Beach,No Shortcut
2018-03-05,0.03214032241711434,Koopa Troopa Beach,No Shortcut
2018-03-06,0.03224171144682138,Koopa Troopa Beach,No Shortcut
2018-03-07,0.03244448950623531,Koopa Troopa Beach,No Shortcut
2019-03-03,0.03244448950623531,Koopa Troopa Beach,No Shortcut
2019-11-29,0.03264726756564939,Koopa Troopa Beach,No Shortcut
2019-12-10,0.03264726756564939,Koopa Troopa Beach,No Shortcut
2020-06-11,0.03305282368447725,Koopa Troopa Beach,No Shortcut
2020-07-05,0.033154212714184284,Koopa Troopa Beach,No Shortcut
2020-07-05,0.033661157862719185,Koopa Troopa Beach,No Shortcut
2020-07-13,0.03386393592213326,Koopa Troopa Beach,No Shortcut
2020-07-13,0.03426949204096112,Koopa Troopa Beach,No Shortcut
1998-08-20,0,Kalimari Desert,No Shortcut
1998-09-11,1.558603491270403e-4,Kalimari Desert,No Shortcut
1998-09-13,7.793017456358659e-4,Kalimari Desert,No Shortcut
1998-09-29,0.0015586034912717318,Kalimari Desert,No Shortcut
1998-10-01,0.0031172069825435747,Kalimari Desert,No Shortcut
1998-10-02,0.0032730673316707258,Kalimari Desert,No Shortcut
1998-10-17,0.0038965087281795513,Kalimari Desert,No Shortcut
1998-10-20,0.006468204488778042,Kalimari Desert,No Shortcut
1999-01-12,0.009585411471321616,Kalimari Desert,No Shortcut
2000-02-13,0.01706670822942642,Kalimari Desert,No Shortcut
2002-06-24,0.017222568578553567,Kalimari Desert,No Shortcut
2003-04-30,0.018079800498753067,Kalimari Desert,No Shortcut
2003-08-29,0.020339775561097253,Kalimari Desert,No Shortcut
2003-08-31,0.020807356608478707,Kalimari Desert,No Shortcut
2004-06-18,0.021508728179551052,Kalimari Desert,No Shortcut
2008-02-24,0.021586658354114684,Kalimari Desert,No Shortcut
2008-02-25,0.023301122194513676,Kalimari Desert,No Shortcut
2012-01-23,0.02369077306733161,Kalimari Desert,No Shortcut
2012-01-24,0.024548004987531107,Kalimari Desert,No Shortcut
2012-08-14,0.024548004987531107,Kalimari Desert,No Shortcut
2013-10-05,0.02485972568578552,Kalimari Desert,No Shortcut
2013-10-15,0.02517144638403982,Kalimari Desert,No Shortcut
2013-10-24,0.025327306733167083,Kalimari Desert,No Shortcut
2014-01-22,0.02610660847880295,Kalimari Desert,No Shortcut
2014-01-23,0.027041770573566076,Kalimari Desert,No Shortcut
2015-11-01,0.027119700748129597,Kalimari Desert,No Shortcut
2015-11-02,0.02750935162094753,Kalimari Desert,No Shortcut
2015-11-05,0.02844451371571066,Kalimari Desert,No Shortcut
2015-11-06,0.02992518703241887,Kalimari Desert,No Shortcut
2015-11-07,0.03015897755610965,Kalimari Desert,No Shortcut
2015-11-10,0.030938279301745628,Kalimari Desert,No Shortcut
2015-11-16,0.03109413965087278,Kalimari Desert,No Shortcut
2015-11-17,0.03109413965087278,Kalimari Desert,No Shortcut
2015-11-24,0.03117206982543641,Kalimari Desert,No Shortcut
2016-02-12,0.03132793017456356,Kalimari Desert,No Shortcut
2016-02-12,0.03179551122194513,Kalimari Desert,No Shortcut
2016-10-15,0.03187344139650865,Kalimari Desert,No Shortcut
2018-01-10,0.03187344139650865,Kalimari Desert,No Shortcut
2018-03-13,0.03202930174563591,Kalimari Desert,No Shortcut
